2024-06-22 09:36:35 - INFO - ALIAS MATCH: QARS: 5859
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RAN: 5901
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RBM17: 84991
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RILPL2: 196383
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPA1: 6117
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPA2: 6118
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL10: 6134
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL10A: 4736
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL11: 6135
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL12: 6136
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL13: 6137
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL13A: 23521
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL14: 9045
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL18: 6141
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL18A: 6142
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL19: 6143
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL23A: 6147
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL24: 6152
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL26: 6154
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL27: 6155
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL3: 6122
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL30: 6156
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL31: 6160
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL32: 6161
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL34: 6164
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL35: 11224
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL35A: 6165
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL36: 25873
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL37: 6167
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL37A: 6168
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL38: 6169
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL4: 6124
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL5: 6125
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL6: 6128
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL7: 6129
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPL7A: 6130
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPLP0: 6175
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPLP2: 6181
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPN2: 6185
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS11: 6205
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS13: 6207
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS14: 6208
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS15: 6209
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS15A: 6210
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS17: 6218
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS18: 6222
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS19: 6223
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS20: 6224
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS24: 6229
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS26: 6231
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS27A: 6233
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS3: 6188
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS3A: 6189
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS4X: 6191
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS5: 6193
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS6: 6194
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS7: 6201
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS8: 6202
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPS9: 6203
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RPSA: 3921
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RRM1: 6240
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RUVBL1: 8607
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: RUVBL2: 10856
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SDAD1: 55153
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3A1: 10291
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3A2: 8175
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3B1: 23451
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3B2: 10992
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3B3: 23450
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3B4: 10262
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SF3B5: 83443
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SFPQ: 6421
2024-06-22 09:36:35 - INFO - ALIAS MATCH: SHFM1: 7979
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SMC3: 9126
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SNRNP200: 23020
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SNRNP27: 11017
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SNRPD1: 6632
2024-06-22 09:36:35 - INFO - SYMBOL MATCH: SNRPD2: 6633
